model,dataset,method,bits,bytes_per_vector,r1_mean,r1_std,r10_mean,r10_std,r100_mean,r100_std,training
remoteclip,bigearthnet,flyhash,3,192,0.2434,0.0103,0.3558,0.0119,0.4648,0.0084,no
remoteclip,bigearthnet,flyhash,4,256,0.2942,0.0068,0.4088,0.0100,0.5165,0.0068,no
remoteclip,bigearthnet,fp32_exact,2,2048,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,no
remoteclip,bigearthnet,product_quant,2,128,0.7662,0.0132,0.8346,0.0039,0.8839,0.0013,yes
remoteclip,bigearthnet,product_quant,4,256,0.9220,0.0055,0.9444,0.0023,0.9654,0.0002,yes
remoteclip,bigearthnet,rabitq,1,64,0.2894,0.0172,0.4179,0.0052,0.5367,0.0025,no
remoteclip,bigearthnet,randproj_quant,2,128,0.3748,0.0148,0.4975,0.0074,0.5979,0.0058,no
remoteclip,bigearthnet,randproj_quant,3,192,0.4656,0.0100,0.5775,0.0120,0.6650,0.0087,no
remoteclip,bigearthnet,randproj_quant,4,256,0.5010,0.0101,0.6189,0.0115,0.6990,0.0092,no
remoteclip,bigearthnet,simhash_multi,2,128,0.4036,0.0106,0.5330,0.0049,0.6321,0.0036,no
remoteclip,bigearthnet,simhash_multi,3,192,0.4854,0.0220,0.6026,0.0046,0.6931,0.0032,no
remoteclip,bigearthnet,simhash_multi,4,256,0.5314,0.0140,0.6478,0.0055,0.7306,0.0032,no
remoteclip,bigearthnet,turboquant_ada,2,132,0.4884,0.0082,0.6202,0.0011,0.7222,0.0013,yes
remoteclip,bigearthnet,turboquant_ada,3,196,0.6986,0.0143,0.7911,0.0038,0.8567,0.0015,yes
remoteclip,bigearthnet,turboquant_ada,4,260,0.8346,0.0160,0.8866,0.0014,0.9256,0.0013,yes
remoteclip,bigearthnet,turboquant_mse,2,132,0.4650,0.0135,0.6126,0.0021,0.7166,0.0007,no
remoteclip,bigearthnet,turboquant_mse,3,196,0.6798,0.0078,0.7776,0.0022,0.8498,0.0010,no
remoteclip,bigearthnet,turboquant_mse,4,260,0.8180,0.0068,0.8781,0.0017,0.9228,0.0006,no
remoteclip,bigearthnet,uniform_sq,2,132,0.2708,0.0094,0.3945,0.0082,0.5098,0.0079,no
remoteclip,bigearthnet,uniform_sq,3,196,0.2708,0.0094,0.3945,0.0082,0.5098,0.0079,no
remoteclip,bigearthnet,uniform_sq,4,260,0.2756,0.0066,0.3994,0.0076,0.5151,0.0077,no
remoteclip,eurosat,binary_hash,2,64,0.4401,0.0226,0.6067,0.0052,0.7492,0.0031,no
remoteclip,eurosat,flyhash,2,128,0.2654,0.0293,0.4202,0.0119,0.6025,0.0129,no
remoteclip,eurosat,flyhash,3,192,0.3340,0.0317,0.4928,0.0075,0.6591,0.0071,no
remoteclip,eurosat,flyhash,4,256,0.3889,0.0309,0.5452,0.0073,0.6945,0.0116,no
remoteclip,eurosat,fp32_exact,2,2048,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,no
